Date,Combined Price
05/01/2021,0.012690
06/01/2021,0.012610
07/01/2021,0.013010
08/01/2021,0.012420
09/01/2021,0.012390
10/01/2021,0.011430
11/01/2021,0.010140
12/01/2021,0.010060
13/01/2021,0.010320
14/01/2021,0.010690
15/01/2021,0.010110
16/01/2021,0.008960
17/01/2021,0.008240
18/01/2021,0.008740
19/01/2021,0.008570
20/01/2021,0.009020
21/01/2021,0.007510
22/01/2021,0.007650
23/01/2021,0.007850
24/01/2021,0.008320
25/01/2021,0.007710
26/01/2021,0.007840
27/01/2021,0.007800
28/01/2021,0.007880
29/01/2021,0.007930
30/01/2021,0.007850
31/01/2021,0.007410
01/02/2021,0.006900
02/02/2021,0.007900
03/02/2021,0.009900
04/02/2021,0.008960
05/02/2021,0.009670
06/02/2021,0.009880
07/02/2021,0.010220
08/02/2021,0.010580
09/02/2021,0.012160
10/02/2021,0.013170
11/02/2021,0.012560
12/02/2021,0.012500
13/02/2021,0.011540
14/02/2021,0.010740
15/02/2021,0.009890
16/02/2021,0.010540
17/02/2021,0.010610
18/02/2021,0.009910
19/02/2021,0.009170
20/02/2021,0.009290
21/02/2021,0.009210
22/02/2021,0.008310
23/02/2021,0.008080
24/02/2021,0.008400
25/02/2021,0.008380
26/02/2021,0.007990
27/02/2021,0.009360
28/02/2021,0.008300
01/03/2021,0.008710
02/03/2021,0.008550
03/03/2021,0.009190
04/03/2021,0.009040
05/03/2021,0.008780
06/03/2021,0.008480
07/03/2021,0.008880
08/03/2021,0.008570
09/03/2021,0.008770
10/03/2021,0.008420
11/03/2021,0.008820
12/03/2021,0.009060
13/03/2021,0.010050
14/03/2021,0.009460
15/03/2021,0.011000
16/03/2021,0.011520
17/03/2021,0.012330
18/03/2021,0.012770
19/03/2021,0.011360
20/03/2021,0.011930
21/03/2021,0.011510
22/03/2021,0.011780
23/03/2021,0.012060
24/03/2021,0.013570
25/03/2021,0.013840
26/03/2021,0.014870
27/03/2021,0.016460
28/03/2021,0.016390
29/03/2021,0.015570
30/03/2021,0.017180
31/03/2021,0.017890
01/04/2021,0.017570
02/04/2021,0.016950
03/04/2021,0.017330
04/04/2021,0.019320
05/04/2021,0.019220
06/04/2021,0.020480
07/04/2021,0.020310
08/04/2021,0.021420
09/04/2021,0.021030
10/04/2021,0.018980
11/04/2021,0.019750
12/04/2021,0.019200
13/04/2021,0.018770
14/04/2021,0.018250
15/04/2021,0.018840
16/04/2021,0.018750
17/04/2021,0.017660
18/04/2021,0.017090
19/04/2021,0.016380
20/04/2021,0.016980
21/04/2021,0.016810
22/04/2021,0.017650
23/04/2021,0.016910
24/04/2021,0.015930
25/04/2021,0.015530
26/04/2021,0.015640
27/04/2021,0.014360
28/04/2021,0.015740
29/04/2021,0.016400
30/04/2021,0.017540
01/05/2021,0.020240
02/05/2021,0.020160
03/05/2021,0.021420
04/05/2021,0.023940
05/05/2021,0.029260
06/05/2021,0.025820
07/05/2021,0.031770
08/05/2021,0.033550
09/05/2021,0.038900
10/05/2021,0.044860
11/05/2021,0.050180
12/05/2021,0.056640
13/05/2021,0.064290
14/05/2021,0.062520
15/05/2021,0.053130
16/05/2021,0.053450
17/05/2021,0.049270
18/05/2021,0.054070
19/05/2021,0.042960
20/05/2021,0.048320
21/05/2021,0.049150
22/05/2021,0.046880
23/05/2021,0.039720
24/05/2021,0.045740
25/05/2021,0.049490
26/05/2021,0.057470
27/05/2021,0.062460
28/05/2021,0.059430
29/05/2021,0.053730
30/05/2021,0.053090
31/05/2021,0.052710
01/06/2021,0.054490
02/06/2021,0.055550
03/06/2021,0.054850
04/06/2021,0.060250
05/06/2021,0.057810
